category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,rating
 Cleansing Agents,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
 Texture Enhancer,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
 Emollients,bis-PEG-18,methyl,ether,dimethyl,silane,,Good
Silicones,bis-phenylpropyl,dimethicone,,,,,Good
 Texture Enhancer,bis-phenylpropyl,dimethicone,,,,,Good
Plant Extracts,bitter,orange,flower,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,bitter,orange,flower,,,,Poor
Antioxidants,blackberry,,,,,,Best
 Plant Extracts,blackberry,,,,,,Best
Plant Extracts,black,cohosh,,,,,Average
Plant Extracts,black,currant,oil,,,,Best
Antioxidants,black,elderberry,,,,,Good
 Plant Extracts,black,elderberry,,,,,Good
Antioxidants,black,locust,extract,,,,Poor
 Plant Extracts,black,locust,extract,,,,Poor
Plant Extracts,black,mulberry,,,,,Good
Plant Extracts,black,pepper,extract,and,oil,,Poor
Antioxidants,black,raspberry,,,,,Best
 Plant Extracts,black,raspberry,,,,,Best
Skin-Soothing,black,tea,,,,,Best
 Plant Extracts,black,tea,,,,,Best
 Antioxidants,black,tea,,,,,Best
Antioxidants,bladderwrack,extract,,,,,Best
 Plant Extracts,bladderwrack,extract,,,,,Best
Plant Extracts,bloodwort,,,,,,Poor
Coloring Agents/Pigments,blue,1,,,,,Good
Coloring Agents/Pigments,blue,1,lake,,,,Good
Skin-Soothing,Boerhavia,diffusa,root,extract,,,Best
 Plant Extracts,Boerhavia,diffusa,root,extract,,,Best
 Antioxidants,Boerhavia,diffusa,root,extract,,,Best
Plant Extracts,bois,de,rose,oil,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,bois,de,rose,oil,,,Poor
Plant Extracts,bois,oil,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,bois,oil,,,,,Poor
Skin-Soothing,borage,seed,extract,,,,Best
 Plant Extracts,borage,seed,extract,,,,Best
Skin-Soothing,borage,seed,oil,,,,Best
 Emollients,borage,seed,oil,,,,Best
 Antioxidants,borage,seed,oil,,,,Best
 Plant Extracts,borage,seed,oil,,,,Best
Skin-Soothing,Borago,officinalis,extract,,,,Best
 Antioxidants,Borago,officinalis,extract,,,,Best
 Emollients,Borago,officinalis,extract,,,,Best
 Plant Extracts,Borago,officinalis,extract,,,,Best
Skin-Soothing,Borago,officinalis,seed,oil,,,Best
 Plant Extracts,Borago,officinalis,seed,oil,,,Best
 Emollients,Borago,officinalis,seed,oil,,,Best
 Antioxidants,Borago,officinalis,seed,oil,,,Best
Preservatives,borate,,,,,,Poor
Preservatives,borax,,,,,,Poor
Preservatives,boric,acid,,,,,Good
Absorbent,boron,nitride,,,,,Good
Plant Extracts,Boswellia,carterii,,,,,Poor
 Fragrance: Synthetic and Fragrant Plant Extracts,Boswellia,carterii,,,,,Poor
Skin-Soothing,Boswellia,serrata,extract,,,,Average
 Fragrance: Synthetic and Fragrant Plant Extracts,Boswellia,serrata,extract,,,,Average
 Plant Extracts,Boswellia,serrata,extract,,,,Average
Plant Extracts,botanicals,,,,,,Average
Antioxidants,boysenberry,,,,,,Best
 Plant Extracts,boysenberry,,,,,,Best
Antioxidants,Brassica,campestris,,,,,Best
 Emollients,Brassica,campestris,,,,,Best
Antioxidants,Brazil,nut,extract,,,,Good
 Plant Extracts,Brazil,nut,extract,,,,Good
Sunscreen Actives,broad,spectrum,,,,,Good
Plant Extracts,bromelain,,,,,,Good
 Exfoliant,bromelain,,,,,,Good
