,scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
B00G2TQNZ4,0.20487517665146932,0.23630370026428044,0.204550468429388,0.12819208835825993,0.27103883524158545,0.0,0.42135188589758293,0.21275415399030984,0.1844241241381364,0.07744346273902347,0.12635720270427625,0.0733094802179083,0.0
B00VNXQE94,0.10380496995992478,0.2382173927157628,0.37634020519436784,0.18011814034621476,0.30243957098229296,0.0,0.40688078455885524,0.08420198680792298,0.13241173901064304,0.09866258012309681,0.1287334793572312,0.0522896782910042,0.0
B01CK695QG,0.21949301866817433,0.3009446410801946,0.4676680385548729,0.18145214819185326,0.13770017393808473,0.03478857327587009,0.21752781072090385,0.05835828929662486,0.2900121713850681,0.16951066548154237,0.01638016913213203,0.13186237565544895,0.0
B01KMSTCWG,0.3121074814045731,0.2575190604988498,0.5875530925570305,0.2599101996412708,0.1257268566105435,0.022205716243513418,0.11464763623241161,0.08649078166753359,0.3818421468974481,0.25822833615276936,0.0352105407541139,0.00782323757304847,0.0
B002LTZV2K,0.298747879820908,0.21407323106416073,0.35080137811592255,0.22241619042463237,0.01603835298967711,0.0,0.07468161419269549,0.08815534799658073,0.1147181884146881,0.014708304607357909,0.0,0.12594110646444925,0.0
B072K1LNNY,0.2342554730512479,0.2894060557356287,0.22505315330773773,0.10722048306059731,0.18152917947371003,0.0,0.3589915234965864,0.21136243976991054,0.10764584165452115,0.04312098442185619,0.16579114782884335,0.09911802047317098,0.0
B0081NLR0K,0.21009621332942457,0.2817104647075256,0.3748908245575516,0.36961203019530126,0.2742689595839368,0.0,0.2202862947758508,0.10827866346167894,0.18484685771692086,0.08920257553783914,0.0,0.10759368614564205,0.0
B071VPBRFF,0.15221900218527842,0.29179262844515313,0.03731330706925339,0.03899941926862638,0.44751917380267553,0.017438180118661294,0.23637271562743223,0.2832183780784915,0.02875699777180916,0.14413126723302233,0.0,0.0025445522848135923,0.0
B003V12CLA,0.07418259241402214,0.23903830707583906,0.16088435966754266,0.2759183786437547,0.0,0.0,0.06755100929333933,0.07418259241402214,0.0,0.0,0.0,0.0,0.0
B005H1541C,0.21800999210318261,0.24668067811111657,0.30061658816892367,0.33221565210410686,0.2528774594280742,0.014929549023544637,0.15899713158505596,0.1502071576193386,0.18657014565701666,0.04141191180147023,0.009373777175697722,0.0748896926029611,0.0
B075B2J6M7,0.08164724695650964,0.44722937264712886,0.17713217192029612,0.186995048228943,0.22151173034666422,0.0,0.07478215909462015,0.0777199021592572,0.0,0.01743269238565941,0.036950091510661684,0.005463153636876871,0.0
B01NB28F0D,0.11590335822506824,0.24961010376022313,0.31745025741635785,0.087283931112618,0.20220769320848977,0.0,0.25522814309197994,0.10284607758057332,0.018968465178687662,0.10382086135114192,0.21387996660005873,0.05163283192963598,0.0
B0714KLR5G,0.12835679672855443,0.16092556176173148,0.0875481679223592,0.2130529461370111,0.3087947290422866,0.026106941717483498,0.07845879536147309,0.13839750152278163,0.056975099864408574,0.0019100406184846368,0.0,0.045149051005723494,0.0
B073DR92L8,0.003764975881073425,0.12735517225034415,0.03772403588411468,0.03864093757981916,0.17732651208190553,0.0,0.15031439179169698,0.0,0.08763901995847037,0.003643748866590437,0.0,0.0,0.0
B00O2435IE,0.19323743085791345,0.2338642244306975,0.1725704100493159,0.17621509314492534,0.34743837971194347,0.0,0.23986840812471188,0.21686334383023453,0.08314934032443666,0.1498457136266309,0.0,0.10551174692141313,0.0
B074P33MN8,0.20083839506813472,0.2601082621932825,0.09573644768144182,0.11154835162711293,0.4107498514249054,0.0,0.33517755852044495,0.21905564416424841,0.09247640927289959,0.1529578466067052,0.10912922086995201,0.10597507698425568,0.0
B01N4VMLGA,0.10355993688710727,0.3456345652207383,0.3816913288829755,0.1776777287953492,0.31661249717624074,0.0,0.09849171591511341,0.08632348471862233,0.0350635806616621,0.11857189643352925,0.07896592206860747,0.022903287008121456,0.0
B00OKY87OS,0.17783783447502374,0.1876111457155085,0.18518932636326071,0.0986325306173604,0.15999539496920018,0.034245092819181006,0.40815632422824877,0.23051188901578518,0.08878480301413555,0.0698669400489947,0.2046580687982441,0.022315897206874748,0.0
B001QOAO7I,0.14367863498694491,0.27035027091948244,0.37519313547255145,0.43274429514092,0.17727614308285325,0.03878140943932516,0.1617901219954598,0.08441374701139315,0.16837825105119913,0.025555433330136115,0.0,0.04227885636588377,0.0
B0763T2G6J,0.16068792837698553,0.08564817090114052,0.0465867523366568,0.028677070841826274,0.435265087551101,0.0,0.34242179141660833,0.25761343014337007,0.13492282091127128,0.2110734273662354,0.0384268112797103,0.03899238793073376,0.0
B01MXLF8TY,0.05385574581581254,0.03528591971031231,0.6485057288843937,0.07765113613483299,0.09515060094631682,0.0342857449064204,0.5076166908390007,0.04855894423068816,0.09449294278888873,0.03489211769295132,0.014283886785683314,0.008791587508110151,0.0
B00H6TPT90,0.16084814587474378,0.2893056625709628,0.10462604006215498,0.0785999637689808,0.26136992853826224,0.029664925805693975,0.32970774709809,0.16629767514683613,0.11011171986997298,0.03754581346438812,0.15260662565143027,0.15267220676630006,0.0
B073M6PM2N,0.1860419163405277,0.23967866557510814,0.19391000704147296,0.12005157647476883,0.3216082768537332,0.001897284194739225,0.38904204178884716,0.1860989352636887,0.14040824497302656,0.11367105547266963,0.14781075456594947,0.0861074047028925,0.0
B00S2G786S,0.12847866826759924,0.19451584000035776,0.2401121507238063,0.11387081713272072,0.2513635312105499,0.0,0.40017203343240115,0.1587137529750286,0.1164994777838445,0.10076759087065457,0.18703635624666673,0.028919910180406818,0.0
B01MSBL7L1,0.37991462285462085,0.26641043255238445,0.024449424268787056,0.004911123478397172,0.06058372249551454,0.0,0.0545786638242506,0.41741389342228996,0.002946291528053708,0.05725740909095606,0.0,0.0,0.0
B00406ZI3E,0.10748780767105662,0.16797385082501534,0.29677812190172254,0.29407963252721003,0.1982858566260644,0.18187681160325267,0.26913351378186096,0.24143961726741378,0.1233772240850966,0.14168862180239622,0.005710022768184606,0.0220784417995192,0.0
B019J03616,0.6254634115085033,0.08627647020695846,0.40654917793502904,0.05711532994592655,0.1291288958411445,0.0,0.08611464082646408,0.6473249925302313,0.03716155480739953,0.02732697627716008,0.0,0.0,0.0
B06X9J4TT2,0.16647310220090933,0.19309404286351792,0.060486435879523716,0.0745884951046311,0.20306944606773134,0.0,0.33410867445160514,0.14739474590389934,0.07946876168706375,0.04066710780559766,0.21991826813899104,0.05139149852543877,0.0
B016BNU96Y,0.28387124941890796,0.0,0.0,0.0,0.35483906177363495,0.0,0.35483906177363495,0.5677424988378159,0.0,0.35483906177363495,0.0,0.0,0.0
B077GR4KYK,0.1061357472705282,0.289992972413761,0.1285846686289322,0.15403763443056911,0.27989494187251435,0.009931056193212554,0.25755889463049864,0.105181592036701,0.0933008829098076,0.025439861032427253,0.12809622844993737,0.09007864026584471,0.0
B00GPWYF94,0.15210807343854002,0.250098653960999,0.1734916372394158,0.2624471174321611,0.483887852709073,0.0,0.23974582855845744,0.1881143814173872,0.15354814532053745,0.10044089240715727,0.02328725498986466,0.0226058465258309,0.0
B007IVCKUM,0.1467591874723125,0.31018941451362647,0.21016465142777294,0.09444865502666017,0.10415294088629634,0.035830461851309815,0.2279687081439194,0.1654624229319314,0.050317409868723934,0.0042824604418207,0.0,0.15518476526944866,0.0
B009TBV492,0.008899692930748259,0.14144055120400478,0.02590310912186608,0.06618106098318492,0.34610528897182824,0.043190454359597855,0.1297374269392191,0.03887140892363807,0.10704175987937295,0.05989030105373969,0.0,0.0,0.0
B074RBRD6H,0.17401236483127563,0.23246062915830043,0.1770191796092685,0.1289704360264531,0.25017736887619535,0.005735577908355904,0.09319161789909315,0.13481851026702835,0.12074484668393426,0.0005788766407270081,0.0,0.16790356880715754,0.0
B0788FKXGB,0.0751323850473125,0.24460844806438625,0.21340279522106034,0.19617830615078238,0.27638159059441897,0.021656021371762573,0.29802662931383117,0.08655066066096918,0.12177077495848512,0.061609735647572716,0.0904133333823253,0.07583662105902252,0.0
B016EMTM2Y,0.1129818884477504,0.35022646025643855,0.14341647002394614,0.18578613902462668,0.3582071602471476,0.004480940141286864,0.1046087852453598,0.14243768478574845,0.0600707376181458,0.05734973903555536,0.01335205666111835,0.05925367560041654,0.0
