,scent,dry,oily,combination,anti-aging,psoriasis,lightening,sensitive,large-pores,circles-under-eyes,uneven-skintone,night_cream,sun_screen
B001IJ4KWQ,0.15613294663670127,0.23514483308652223,0.26956624244385285,0.1128268921598318,0.039692810834858094,0.0,0.3234779448737302,0.39427907821960306,0.0,0.03230527042218199,0.008804468967652447,0.17751897369036013,0.0
B01CNE99FW,0.162753714873976,0.2709048414701748,0.278480267666009,0.04726605972938172,0.07859679774339373,0.22551888255954985,0.013811483155160138,0.29477424493127163,0.0,0.10225377092324268,0.008157703422523189,0.07786163707856901,0.019984177187890487
B01BDIX3JM,0.11318719941610654,0.4035272272357115,0.10543329138778539,0.031688505210950804,0.18492790768587639,0.2709638804264396,0.05398558032530846,0.3133440777972316,0.0,0.04485375914117966,0.010251927957841694,0.08623431426232014,0.08034021878957383
B06XZVZXWC,0.06286343224845603,0.048305259509922066,0.3203210272141854,0.02091150397672116,0.05911456287417381,0.0,0.36158207159458083,0.6174172841367159,0.0,0.07431460274800346,0.016877494432832044,0.42152893909212363,0.0
B072MYZV4R,0.031216252031443303,0.37901382306089804,0.1573023964692556,0.02575908594235154,0.4310170537610803,0.13904264844152686,0.029967257218570614,0.12770257413981365,0.0,0.059107991003752705,0.0073785081193327015,0.22385879647501739,0.0
B015ORL3B8,0.13514139962517968,0.42303640867899006,0.1759462857812018,0.08128155435829487,0.40148525866098717,0.022056586089679114,0.14417249296808476,0.3026146605467667,0.0,0.12255159159702629,0.018351918738068525,0.20196817527297256,0.021703592977300953
B00387F426,0.07553643210002875,0.4315543547662531,0.12417102733768698,0.07358129642715867,0.4610146463956559,0.0,0.17405633612802657,0.10943256354199311,0.0,0.14903232698444704,0.02300708400104878,0.1715888766850176,0.0
B00O25NI7Q,0.060425365176114194,0.39981864659880434,0.027696222330070835,0.07349729950433764,0.31409083098823415,0.4107472656362322,0.18851673699876856,0.3481569832844871,0.0,0.1297595889469373,0.03140533854919152,0.11295754968870524,0.0
B01M4R7D9A,0.06581868074299062,0.36588153383671373,0.053748976203290694,0.04929517807277298,0.4574103052826671,0.0,0.052129636785729204,0.04055538172872315,0.0,0.1222433188669596,0.030431458241875865,0.2582517625465687,0.0
B072TRNFHS,0.08619066647969219,0.23554559104272685,0.0442120862682845,0.054928055707649345,0.3284360949774279,0.0,0.13107274821608939,0.11387565467796433,0.0,0.12851154436277312,0.009257676600876947,0.1347078550012751,0.0
